time	V(c1)	V(n001)	V(in)	V(s)	V(c2)	V(n002)	Ic(Q1)	Ib(Q1)	Ie(Q1)	Ic(Q2)	Ib(Q2)	Ie(Q2)	I(D1)	I(L1)	I(L2)	I(R1)	I(R2)	I(V1)	I(V2)
1.841431071999253e-02	5.000000e+00	5.003168e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001706e-11	5.013027e-12	-5.003111e-12	-1.050071e-14	5.013027e-12	-5.002175e-12	-1.050058e-14	7.064733e-29	5.014642e-12	4.956711e-12	-5.003168e-12	-5.001706e-12	1.000529e-11	-1.002905e-11
1.943831071999355e-02	5.000000e+00	5.003648e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004608e-11	5.013767e-12	-5.003701e-12	-1.049943e-14	5.015247e-12	-5.004403e-12	-1.049946e-14	9.867479e-14	5.014753e-12	5.069816e-12	-5.003648e-12	-5.004608e-12	1.000810e-11	-1.003132e-11
2.046231071999458e-02	5.000000e+00	5.003206e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004052e-11	5.013027e-12	-5.003202e-12	-1.049925e-14	5.013767e-12	-5.003200e-12	-1.049836e-14	3.289160e-14	5.014277e-12	5.023892e-12	-5.003206e-12	-5.004051e-12	1.000640e-11	-1.004492e-11
2.148631071999560e-02	5.000000e+00	5.003394e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.007272e-11	5.013027e-12	-5.003619e-12	-1.049984e-14	5.016727e-12	-5.006158e-12	-1.049962e-14	1.315664e-13	5.014126e-12	5.137507e-12	-5.003394e-12	-5.007272e-12	1.000978e-11	-1.001093e-11
2.251031071999662e-02	5.000000e+00	5.003055e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003134e-11	5.013767e-12	-5.003065e-12	-1.049999e-14	5.012287e-12	-5.002198e-12	-1.050000e-14	-3.289160e-14	5.014112e-12	4.977979e-12	-5.003055e-12	-5.003134e-12	1.000526e-11	-1.004867e-11
2.353431071999765e-02	5.000000e+00	5.003234e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003532e-11	5.013027e-12	-5.003230e-12	-1.049954e-14	5.014507e-12	-5.003440e-12	-1.050069e-14	3.289160e-14	5.014295e-12	5.024894e-12	-5.003234e-12	-5.003532e-12	1.000667e-11	-1.003384e-11
2.455831071999867e-02	5.000000e+00	5.003282e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003362e-11	5.012287e-12	-5.003276e-12	-1.049945e-14	5.013027e-12	-5.002082e-12	-1.049897e-14	-9.867479e-14	5.014345e-12	4.920146e-12	-5.003282e-12	-5.003362e-12	1.000536e-11	-9.996921e-12
2.558231071999970e-02	5.000000e+00	5.003652e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003427e-11	5.014507e-12	-5.003709e-12	-1.049973e-14	5.013767e-12	-5.002723e-12	-1.050028e-14	-3.289160e-14	5.014750e-12	4.950765e-12	-5.003652e-12	-5.003427e-12	1.000643e-11	-9.995929e-12
2.660631072000072e-02	5.000000e+00	5.003415e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002078e-11	5.013027e-12	-5.003479e-12	-1.049963e-14	5.011547e-12	-5.001473e-12	-1.049872e-14	-1.315664e-13	5.014520e-12	4.891660e-12	-5.003415e-12	-5.002077e-12	1.000495e-11	-9.998923e-12
2.763031072000174e-02	5.000000e+00	5.003133e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001277e-11	5.013027e-12	-5.003077e-12	-1.050063e-14	5.014507e-12	-5.002185e-12	-1.049884e-14	-9.867479e-14	5.014609e-12	4.889031e-12	-5.003133e-12	-5.001278e-12	1.000526e-11	-9.960910e-12
2.865431072000277e-02	5.000000e+00	5.003516e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003850e-11	5.012287e-12	-5.003664e-12	-1.050035e-14	5.013767e-12	-5.003858e-12	-1.049811e-14	3.289160e-14	5.014129e-12	5.038472e-12	-5.003515e-12	-5.003850e-12	1.000752e-11	-1.002656e-11
2.967831072000379e-02	5.000000e+00	5.003334e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.006805e-11	5.014507e-12	-5.003268e-12	-1.050047e-14	5.017468e-12	-5.007492e-12	-1.049866e-14	2.302412e-13	5.014810e-12	5.190610e-12	-5.003333e-12	-5.006805e-12	1.001076e-11	-9.998259e-12
