vs	V(nout)	V(n002)	V(n003)	V(n004)	V(n001)	I(D1)	I(D2)	I(D3)	I(D4)	I(Rs)	I(Vs)
1.109999999999998e+01	2.838936e+00	2.129202e+00	1.419468e+00	7.097340e-01	1.110000e+01	8.261064e-03	8.261064e-03	8.261064e-03	8.261064e-03	8.261064e-03	-8.261064e-03
1.119999999999998e+01	2.840166e+00	2.130124e+00	1.420083e+00	7.100415e-01	1.120000e+01	8.359835e-03	8.359835e-03	8.359835e-03	8.359835e-03	8.359835e-03	-8.359835e-03
1.129999999999998e+01	2.841381e+00	2.131036e+00	1.420691e+00	7.103453e-01	1.130000e+01	8.458619e-03	8.458619e-03	8.458619e-03	8.458619e-03	8.458619e-03	-8.458619e-03
1.139999999999998e+01	2.842583e+00	2.131937e+00	1.421291e+00	7.106457e-01	1.140000e+01	8.557417e-03	8.557417e-03	8.557417e-03	8.557417e-03	8.557417e-03	-8.557417e-03
1.149999999999998e+01	2.843771e+00	2.132828e+00	1.421885e+00	7.109426e-01	1.150000e+01	8.656230e-03	8.656230e-03	8.656230e-03	8.656230e-03	8.656230e-03	-8.656230e-03
1.159999999999998e+01	2.844945e+00	2.133709e+00	1.422472e+00	7.112362e-01	1.160000e+01	8.755055e-03	8.755055e-03	8.755055e-03	8.755055e-03	8.755055e-03	-8.755055e-03
1.169999999999998e+01	2.846106e+00	2.134580e+00	1.423053e+00	7.115266e-01	1.170000e+01	8.853894e-03	8.853894e-03	8.853894e-03	8.853894e-03	8.853894e-03	-8.853894e-03
1.179999999999998e+01	2.847255e+00	2.135441e+00	1.423627e+00	7.118137e-01	1.180000e+01	8.952745e-03	8.952745e-03	8.952745e-03	8.952745e-03	8.952745e-03	-8.952745e-03
1.189999999999998e+01	2.848391e+00	2.136293e+00	1.424196e+00	7.120978e-01	1.190000e+01	9.051609e-03	9.051609e-03	9.051609e-03	9.051609e-03	9.051609e-03	-9.051609e-03
1.199999999999998e+01	2.849515e+00	2.137136e+00	1.424758e+00	7.123788e-01	1.200000e+01	9.150485e-03	9.150485e-03	9.150485e-03	9.150485e-03	9.150485e-03	-9.150485e-03
1.209999999999997e+01	2.850627e+00	2.137970e+00	1.425314e+00	7.126569e-01	1.210000e+01	9.249372e-03	9.249372e-03	9.249372e-03	9.249372e-03	9.249372e-03	-9.249372e-03
1.219999999999997e+01	2.851728e+00	2.138796e+00	1.425864e+00	7.129319e-01	1.220000e+01	9.348272e-03	9.348272e-03	9.348272e-03	9.348272e-03	9.348272e-03	-9.348272e-03
1.229999999999997e+01	2.852817e+00	2.139612e+00	1.426408e+00	7.132041e-01	1.230000e+01	9.447183e-03	9.447183e-03	9.447183e-03	9.447183e-03	9.447183e-03	-9.447183e-03
1.239999999999997e+01	2.853894e+00	2.140421e+00	1.426947e+00	7.134736e-01	1.240000e+01	9.546106e-03	9.546106e-03	9.546106e-03	9.546106e-03	9.546106e-03	-9.546106e-03
1.249999999999997e+01	2.854961e+00	2.141221e+00	1.427481e+00	7.137403e-01	1.250000e+01	9.645039e-03	9.645039e-03	9.645039e-03	9.645039e-03	9.645039e-03	-9.645039e-03
1.259999999999997e+01	2.856017e+00	2.142013e+00	1.428009e+00	7.140043e-01	1.260000e+01	9.743983e-03	9.743983e-03	9.743983e-03	9.743983e-03	9.743983e-03	-9.743983e-03
1.269999999999997e+01	2.857062e+00	2.142797e+00	1.428531e+00	7.142656e-01	1.270000e+01	9.842938e-03	9.842938e-03	9.842938e-03	9.842938e-03	9.842938e-03	-9.842938e-03
1.279999999999997e+01	2.858097e+00	2.143573e+00	1.429049e+00	7.145243e-01	1.280000e+01	9.941903e-03	9.941903e-03	9.941903e-03	9.941903e-03	9.941903e-03	-9.941903e-03
1.289999999999997e+01	2.859122e+00	2.144342e+00	1.429561e+00	7.147806e-01	1.290000e+01	1.004088e-02	1.004088e-02	1.004088e-02	1.004088e-02	1.004088e-02	-1.004088e-02
1.299999999999997e+01	2.860137e+00	2.145103e+00	1.430069e+00	7.150343e-01	1.300000e+01	1.013986e-02	1.013986e-02	1.013986e-02	1.013986e-02	1.013986e-02	-1.013986e-02
1.309999999999997e+01	2.861142e+00	2.145857e+00	1.430571e+00	7.152856e-01	1.310000e+01	1.023886e-02	1.023886e-02	1.023886e-02	1.023886e-02	1.023886e-02	-1.023886e-02
1.319999999999997e+01	2.862138e+00	2.146604e+00	1.431069e+00	7.155345e-01	1.320000e+01	1.033786e-02	1.033786e-02	1.033786e-02	1.033786e-02	1.033786e-02	-1.033786e-02
1.329999999999997e+01	2.863124e+00	2.147343e+00	1.431562e+00	7.157810e-01	1.330000e+01	1.043688e-02	1.043688e-02	1.043688e-02	1.043688e-02	1.043688e-02	-1.043688e-02
1.339999999999997e+01	2.864101e+00	2.148076e+00	1.432051e+00	7.160253e-01	1.340000e+01	1.053590e-02	1.053590e-02	1.053590e-02	1.053590e-02	1.053590e-02	-1.053590e-02
1.349999999999997e+01	2.865069e+00	2.148802e+00	1.432535e+00	7.162673e-01	1.350000e+01	1.063493e-02	1.063493e-02	1.063493e-02	1.063493e-02	1.063493e-02	-1.063493e-02
1.359999999999997e+01	2.866028e+00	2.149521e+00	1.433014e+00	7.165070e-01	1.360000e+01	1.073397e-02	1.073397e-02	1.073397e-02	1.073397e-02	1.073397e-02	-1.073397e-02
1.369999999999997e+01	2.866978e+00	2.150234e+00	1.433489e+00	7.167446e-01	1.370000e+01	1.083302e-02	1.083302e-02	1.083302e-02	1.083302e-02	1.083302e-02	-1.083302e-02
1.379999999999997e+01	2.867920e+00	2.150940e+00	1.433960e+00	7.169800e-01	1.380000e+01	1.093208e-02	1.093208e-02	1.093208e-02	1.093208e-02	1.093208e-02	-1.093208e-02
1.389999999999997e+01	2.868854e+00	2.151640e+00	1.434427e+00	7.172134e-01	1.390000e+01	1.103115e-02	1.103115e-02	1.103115e-02	1.103115e-02	1.103115e-02	-1.103115e-02
1.399999999999997e+01	2.869779e+00	2.152334e+00	1.434889e+00	7.174447e-01	1.400000e+01	1.113022e-02	1.113022e-02	1.113022e-02	1.113022e-02	1.113022e-02	-1.113022e-02
1.409999999999997e+01	2.870696e+00	2.153022e+00	1.435348e+00	7.176739e-01	1.410000e+01	1.122930e-02	1.122930e-02	1.122930e-02	1.122930e-02	1.122930e-02	-1.122930e-02
1.419999999999997e+01	2.871604e+00	2.153703e+00	1.435802e+00	7.179011e-01	1.420000e+01	1.132840e-02	1.132840e-02	1.132840e-02	1.132840e-02	1.132840e-02	-1.132840e-02
1.429999999999997e+01	2.872506e+00	2.154379e+00	1.436253e+00	7.181264e-01	1.430000e+01	1.142749e-02	1.142749e-02	1.142749e-02	1.142749e-02	1.142749e-02	-1.142749e-02
1.439999999999997e+01	2.873399e+00	2.155049e+00	1.436700e+00	7.183498e-01	1.440000e+01	1.152660e-02	1.152660e-02	1.152660e-02	1.152660e-02	1.152660e-02	-1.152660e-02
1.449999999999997e+01	2.874285e+00	2.155714e+00	1.437142e+00	7.185712e-01	1.450000e+01	1.162572e-02	1.162572e-02	1.162572e-02	1.162572e-02	1.162572e-02	-1.162572e-02
1.459999999999997e+01	2.875163e+00	2.156372e+00	1.437582e+00	7.187908e-01	1.460000e+01	1.172484e-02	1.172484e-02	1.172484e-02	1.172484e-02	1.172484e-02	-1.172484e-02
1.469999999999997e+01	2.876034e+00	2.157026e+00	1.438017e+00	7.190086e-01	1.470000e+01	1.182397e-02	1.182397e-02	1.182397e-02	1.182397e-02	1.182397e-02	-1.182397e-02
1.479999999999997e+01	2.876898e+00	2.157674e+00	1.438449e+00	7.192245e-01	1.480000e+01	1.192310e-02	1.192310e-02	1.192310e-02	1.192310e-02	1.192310e-02	-1.192310e-02
1.489999999999996e+01	2.877755e+00	2.158316e+00	1.438877e+00	7.194387e-01	1.490000e+01	1.202224e-02	1.202224e-02	1.202224e-02	1.202224e-02	1.202224e-02	-1.202224e-02
1.500000000000000e+01	2.878605e+00	2.158953e+00	1.439302e+00	7.196512e-01	1.500000e+01	1.212140e-02	1.212140e-02	1.212140e-02	1.212140e-02	1.212140e-02	-1.212140e-02
